temperature (°C),temperature (K),code,Stress (MPa),Time (h),log (t),1/Temp (103),C (API530),LMP,Rapture exponent,LMP pred,logstress
500,773,MGQ,320,914.8,2.961326156,1.293661061,30.36423,25760.65491,12.37001159,25573.24621,2.505149978
500,773,MGQ,310,1821.8,3.260500698,1.293661061,30.36423,25991.91683,12.37001159,25881.26997,2.491361694
500,773,MGQ,300,2731.4,3.436385305,1.293661061,30.36423,26127.87563,12.37001159,26159.09372,2.477121255
500,773,MGQ,290,5356.8,3.728905432,1.293661061,30.36423,26353.99369,12.37001159,26406.71747,2.462397998
500,773,MGQ,270,15864.4,4.200423651,1.293661061,30.36423,26718.47727,12.37001159,26811.36498,2.431363764
500,773,MGQ,250,37628,4.575511135,1.293661061,30.36423,27008.4199,12.37001159,27095.21249,2.397940009
550,823,MGQ,240,279,2.445604203,1.215066829,30.36423,27002.49355,10.30792772,27189.62304,2.380211242
550,823,MGQ,220,1163.7,3.065841034,1.215066829,30.36423,27512.94846,10.30792772,27735.61858,2.342422681
550,823,MGQ,200,4562.4,3.659193359,1.215066829,30.36423,28001.27742,10.30792772,28160.81412,2.301029996
550,823,MGQ,180,20099.5,4.303185254,1.215066829,30.36423,28531.28275,10.30792772,28465.20966,2.255272505
550,823,MGQ,170,38710,4.587823171,1.215066829,30.36423,28765.53976,10.30792772,28572.10743,2.230448921
550,823,MGQ,160,39389,4.595374955,1.215066829,30.36423,28771.75488,10.30792772,28648.8052,2.204119983
550,823,MGQ,140,30782,4.488296834,1.215066829,30.36423,28683.62958,10.30792772,28711.60074,2.146128036
550,823,MGQ,120,29782,4.473953859,1.215066829,30.36423,28671.82532,10.30792772,28653.59628,2.079181246
575,848,MGQ,160,6662,3.823604628,1.179245283,30.36423,28991.28376,9.24153879,29020.17855,2.204119983
575,848,MGQ,150,12690.8,4.103489,1.179245283,30.36423,29228.62571,9.24153879,29181.31313,2.176091259
575,848,MGQ,140,25766.8,4.411060487,1.179245283,30.36423,29489.44633,9.24153879,29312.24771,2.146128036
575,848,MGQ,130,5954,3.77480883,1.179245283,30.36423,28949.90493,9.24153879,29412.98229,2.113943352
575,848,MGQ,120,5834,3.765966425,1.179245283,30.36423,28942.40657,9.24153879,29483.51687,2.079181246
575,848,MGQ,100,24382,4.387069327,1.179245283,30.36423,29469.10183,9.24153879,29533.98603,2
600,873,MGQ,160,364.2,2.561339941,1.145475372,30.36423,28744.02256,8.16031522,29045.93882,2.204119983
600,873,MGQ,140,2585.5,3.412544542,1.145475372,30.36423,29487.12418,8.16031522,29570.47104,2.146128036
600,873,MGQ,120,15366.6,4.186577787,1.145475372,30.36423,30162.8552,8.16031522,29974.20327,2.079181246
600,873,MGQ,110,24189.1,4.38361971,1.145475372,30.36423,30334.8728,8.16031522,30130.76939,2.041392685
600,873,MGQ,100,55521.3,4.744459626,1.145475372,30.36423,30649.88604,8.16031522,30257.1355,2
600,873,MGQ,80,50908,4.706786035,1.145475372,30.36423,30616.997,8.16031522,30419.26773,1.903089987
600,873,MGQ,70,47619,4.677780271,1.145475372,30.36423,30591.67497,8.16031522,30455.03384,1.84509804
625,898,MGQ,140,179.6,2.254306332,1.113585746,30.36423,29291.44563,7.10809421,29462.774,2.146128036
625,898,MGQ,120,964,2.984077034,1.113585746,30.36423,29946.77972,7.10809421,30092.73375,2.079181246
625,898,MGQ,100,5528.4,3.742599458,1.113585746,30.36423,30627.93285,7.10809421,30601.89349,2
625,898,MGQ,90,16039,4.205177287,1.113585746,30.36423,31043.32774,7.10809421,30811.17336,1.954242509
625,898,MGQ,80,14762,4.169145201,1.113585746,30.36423,31010.97093,7.10809421,30990.25324,1.903089987
625,898,MGQ,70,37730,4.576686805,1.113585746,30.36423,31376.94329,7.10809421,31139.13311,1.84509804
625,898,MGQ,60,37513,4.574181797,1.113585746,30.36423,31374.69379,7.10809421,31257.81298,1.77815125
625,898,MGQ,50,5618,3.749581735,1.113585746,30.36423,30634.20294,7.10809421,31346.29285,1.698970004
650,923,MGQ,120,114.8,2.059941888,1.083423619,30.36423,29927.51065,6.07778404,29844.43419,2.079181246
650,923,MGQ,100,716.6,2.855276804,1.083423619,30.36423,30661.60478,6.07778404,30575.11062,2
650,923,MGQ,80,3329.6,3.522392063,1.083423619,30.36423,31277.35216,6.07778404,31184.98705,1.903089987
650,923,MGQ,70,9288.5,3.967945585,1.083423619,30.36423,31688.59807,6.07778404,31444.62526,1.84509804
650,923,MGQ,60,3937,3.595165415,1.083423619,30.36423,31344.52197,6.07778404,31674.06348,1.77815125
650,923,MGQ,50,6002,3.778295991,1.083423619,30.36423,31513.55149,6.07778404,31873.30169,1.698970004
700,973,MGQ,40,5607.6,3.748777027,1.027749229,30.36423,33191.95584,3.39608098,33267.31353,1.602059991
